Y house price of unit area,No,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude
306000000,119,2013-06-01 00:00:00,25.3,1583.722,3,24.96622,121.51709
307000000,132,2013-06-01 00:00:00,4.0,2147.376,3,24.96299,121.51284
356000000,337,2012-09-01 00:00:00,5.1,1867.233,2,24.98407,121.51748
137000000,56,2012-09-01 00:00:00,31.7,1160.632,0,24.94968,121.53009
629000000,127,2012-12-01 00:00:00,38.6,804.6897,4,24.97838,121.53477
305000000,377,2013-05-01 00:00:00,14.7,1717.193,2,24.96447,121.51649
419000000,57,2013-05-01 00:00:00,33.6,371.2495,8,24.97254,121.54059
544000000,292,2012-09-01 00:00:00,3.4,56.47425,7,24.95744,121.53711
295000000,366,2012-11-01 00:00:00,17.3,2261.432,4,24.96182,121.51222
437000000,85,2012-12-01 00:00:00,15.1,383.2805,7,24.96735,121.54464
122000000,117,2012-12-01 00:00:00,30.9,6396.283,1,24.94375,121.47883
221000000,10,2013-05-01 00:00:00,17.9,1783.18,3,24.96731,121.51486
495000000,375,2013-03-01 00:00:00,5.4,390.5684,5,24.97937,121.54245
474000000,138,2013-06-01 00:00:00,13.6,319.0708,6,24.96495,121.54277
186000000,321,2012-09-01 00:00:00,13.5,4197.349,0,24.93885,121.50383
285000000,403,2012-09-01 00:00:00,12.7,187.4823,1,24.97388,121.52981
147000000,232,2012-09-01 00:00:00,16.2,4074.736,0,24.94235,121.50357
454000000,91,2012-09-01 00:00:00,0.0,274.0144,1,24.9748,121.53059
410000000,95,2012-11-01 00:00:00,40.9,167.5989,5,24.9663,121.54026
351000000,174,2012-12-01 00:00:00,41.3,401.8807,4,24.98326,121.5446
221000000,31,2013-06-01 00:00:00,25.9,4519.69,0,24.94826,121.49587
289000000,142,2013-03-01 00:00:00,5.1,1559.827,3,24.97213,121.51627
305000000,105,2012-08-01 00:00:00,32.7,392.4459,6,24.96398,121.5425
265000000,80,2012-12-01 00:00:00,18.0,1414.837,1,24.95182,121.54887
493000000,34,2013-03-01 00:00:00,16.5,323.655,6,24.97841,121.54281
370000000,291,2012-12-01 00:00:00,37.7,490.3446,0,24.97217,121.53471
